2	1.34E+02	7.44E+01	7.80E+01	7.11E+01	8.21E+01	8.00E+01	7.37E+01	7.58E+01	7.41E+01
4	5.95E+02	2.15E+02	6.70E+02	3.27E+02	6.70E+02	4.40E+02	4.12E+02	4.72E+02	3.45E+02
8	1.02E+03	8.13E+02	1.05E+03	1.23E+03	1.20E+03	1.16E+03	1.21E+03	1.29E+03	1.10E+03
16	1.22E+03	1.05E+03	1.26E+03	1.21E+03	1.32E+03	1.30E+03	1.28E+03	1.24E+03	1.17E+03
32	1.25E+03	1.12E+03	1.29E+03	1.26E+03	443.4940313	1.25E+03	1.28E+03	1.23E+03	1.12E+03
64	1208.056351	1099.182356	1285.451242	1259.608246	1283.726442	1156.406258	1237.909271	1084.299326	1062.32891
128	1198.492421	1075.581154	1289.372821	1034.243964	1239.305047	1298.775326	1312.947908	1283.988955	1143.91565
256	888.2779215	990.3057885	1242.144869	1174.879184	1296.74955	1309.293075	1310.116118	996.0706271	1094.51127
512	743.8048629	884.0320765	1149.14898	1005.383771	1295.444133	1286.306555	1219.368574	1099.410869	988.6979787
1024	225.410034	392.2366055	935.9714992	1123.560496	1259.144566	1262.54984	1189.234314	1085.146716	989.8929423
2048	213.8563166	314.5597445	623.8287393	1076.810735	1220.490557	1220.646648	1184.083616	1052.933231	1064.283009
